Id,SalePrice
1461,106645.996
1462,161990.6196
1463,173088.4055
1464,186077.3902
1465,249062.064
1466,174939.1869
1467,181700.7115
1468,166509.4285
1469,193621.6098
1470,110069.3632
1471,194843.7807
1472,101127.3346
1473,95093.44464
1474,151584.2995
1475,117640.4841
1476,347310.9834
1477,294755.7516
1478,310145.0452
1479,299822.7945
1480,401570.8723
1481,314240.9393
1482,250231.9651
1483,169870.486
1484,161466.0064
1485,183474.8551
1486,195352.5435
1487,322335.2635
1488,236402.851
1489,209112.3283
1490,211566.7714
1491,192580.6094
1492,95846.03797
1493,174077.8885
1494,320592.3044
1495,326618.2067
1496,226027.5578
1497,192367.286
1498,179744.3743
1499,180022.1318
1500,167589.8051
1501,197563.7069
1502,170654.7957
1503,268017.2765
1504,232480.3627
1505,216123.3502
1506,198547.4292
1507,230193.4144
1508,187851.1021
1509,165383.3403
1510,151973.6436
1511,156354.9038
1512,168314.979
1513,153083.6127
1514,183471.8845
1515,213801.4911
1516,161272.8303
1517,162043.4185
1518,153998.7335
1519,217573.1703
1520,137750.5145
1521,142330.4767
1522,179914.7171
1523,98710.86056
1524,106198.2352
1525,114705.9557
1526,105408.9061
1527,96893.71659
1528,144814.5398
1529,140389.8745
1530,183694.5332
1531,121731.8746
1532,83547.21297
1533,137121.4247
1534,128632.4769
1535,145414.3472
1536,103720.2263
1537,40626.18494
1538,159960.1512
1539,209466.7092
1540,129090.6203
1541,151097.0508
1542,168462.3057
1543,208618.3919
1544,77981.50241
1545,120557.5337
1546,148397.6195
1547,142545.8417
1548,145933.0615
1549,129293.6134
1550,148045.8197
1551,120147.394
1552,130590.1484
1553,130950.7461
1554,120308.8911
1555,187057.8767
1556,123809.6332
1557,118698.5874
1558,110439.2082
1559,102233.7315
1560,143605.3402
1561,144758.8909
1562,123580.3587
1563,118543.0857
1564,165853.9128
1565,141393.4936
1566,232426.3657
1567,72494.40595
1568,231165.7783
1569,108857.521
1570,123159.5692
1571,108496.2894
1572,133142.2799
1573,225215.3994
1574,123219.287
1575,210535.6839
1576,219639.5377
1577,184959.5628
1578,155001.9769
1579,147176.1297
1580,204008.5954
1581,133936.1149
1582,130438.2101
1583,297481.693
1584,217584.1756
1585,157139.4852
1586,54069.00363
1587,83395.38866
1588,132522.2418
1589,82084.12316
1590,131637.3603
1591,71217.50485
1592,125705.7207
1593,118069.7414
1594,154063.0198
1595,112879.6205
1596,232138.85
1597,223789.5652
1598,217731.0495
1599,171281.7513
1600,168903.4762
1601,24710.03139
1602,116009.5869
1603,68528.40036
1604,273262.4609
1605,235532.9153
1606,164577.3674
1607,197912.6951
1608,213373.4936
1609,212245.8376
1610,163465.3516
1611,142831.9374
1612,153264.6514
1613,146149.9905
1614,117016.5019
1615,75415.82085
1616,72076.40234
1617,89401.99612
1618,116273.3621
1619,115576.1233
1620,190634.9554
1621,139608.5438
1622,138374.2192
1623,244462.9207
1624,193135.5739
1625,122893.4647
1626,189864.6423
1627,190793.1223
1628,268291.3398
1629,194872.9672
1630,357203.478
1631,263695.438
1632,285855.1821
1633,179096.3434
1634,184994.2595
1635,180139.2629
1636,160583.2117
1637,177029.4117
1638,192920.9464
1639,180132.6206
1640,245905.6012
1641,195228.2873
1642,224936.6689
1643,225860.5087
1644,226711.5726
1645,183096.3894
1646,165318.7068
1647,170333.6919
1648,131350.0263
1649,124066.6264
1650,100237.0009
1651,109229.4738
1652,103635.526
1653,99558.51385
1654,152791.6213
1655,148520.9072
1656,149861.2958
1657,153705.9993
1658,148098.5305
1659,130032.6199
1660,152626.14
1661,385861.5543
1662,370332.3563
1663,347985.756
1664,420888.8079
1665,301498.1789
1666,322290.0798
1667,324202.9907
1668,328284.1117
1669,304543.2015
1670,332489.1114
1671,292633.6303
1672,393569.7155
1673,305756.5425
1674,276988.436
1675,234935.7591
1676,229420.0599
1677,251773.4514
1678,405832.2932
1679,349948.4533
1680,337345.5323
1681,280402.2241
1682,313766.2971
1683,235345.6075
1684,184747.879
1685,169293.2234
1686,163654.9763
1687,174743.8207
1688,194388.3661
1689,189735.3417
1690,198909.2723
1691,186701.5532
1692,248052.2706
1693,181735.3328
1694,181915.8516
1695,178337.4714
1696,255273.5957
1697,178094.6613
1698,352581.0713
1699,321829.2086
1700,282964.2297
1701,307589.0079
1702,244966.0729
1703,243136.3078
1704,269757.784
1705,230934.7825
1706,352654.8933
1707,220087.8824
1708,204745.9341
1709,250176.1939
1710,217765.8978
1711,255607.5378
1712,268635.7118
1713,253260.4131
1714,218637.6764
1715,204573.0434
1716,176884.6735
1717,173015.3088
1718,132852.8502
1719,198032.8523
1720,231069.5291
1721,170152.2059
1722,117019.5215
1723,154521.4369
1724,221311.9077
1725,221640.5967
1726,174034.6211
1727,160722.9138
1728,178759.7943
1729,163169.9396
1730,169794.6647
1731,122475.2935
1732,120735.1585
1733,111596.1852
1734,103307.1189
1735,122865.269
1736,103775.4302
1737,310228.0228
1738,266940.5051
1739,277377.2678
1740,222200.5988
1741,193170.1888
1742,187358.8054
1743,205664.9444
1744,284337.1475
1745,243735.4951
1746,262370.6529
1747,203929.4561
1748,213675.1924
1749,148375.6932
1750,145448.4829
1751,229315.1655
1752,110761.376
1753,159390.3115
1754,206538.0103
1755,179448.3536
1756,106691.3605
1757,109983.2498
1758,144916.8315
1759,163998.9451
1760,151746.9582
1761,149386.8401
1762,170452.6793
1763,182924.8774
1764,100664.1694
1765,195900.3053
1766,188553.1358
1767,204626.5267
1768,129671.016
1769,175833.493
1770,150459.5604
1771,118427.4256
1772,132008.6703
1773,89219.08634
1774,178439.9948
1775,138838.8417
1776,127241.8091
1777,101367.4056
1778,139956.99
1779,111144.12
1780,187480.1863
1781,119392.3268
1782,50352.92408
1783,123474.0125
1784,81281.19302
1785,90724.64414
1786,127260.576
1787,169303.8049
1788,7374.900276
1789,82594.0491
1790,47321.24643
1791,229630.7812
1792,155634.8425
1793,154762.9725
1794,161222.7756
1795,142541.3311
1796,133732.6118
1797,131527.7435
1798,115623.4951
1799,97126.77685
1800,122302.3251
1801,116247.5837
1802,148518.8627
1803,175050.1708
1804,135522.5348
1805,147504.8424
1806,132244.5216
1807,176890.0041
1808,123319.7748
1809,109886.83
1810,125428.6768
1811,92809.0472
1812,89804.11908
1813,114306.494
1814,72732.62723
1815,12139.0877
1816,75692.04733
1817,98678.92224
1818,143871.3612
1819,121175.1964
1820,45474.31195
